pid,cell,sat,level,accum,v_srdm,v_rdm,s_srdm,s_rdm,ratio_srdm,ratio_rdm
kr,1,speed,1,error,4.802710015867896,1.9835048,1.7902563739324633,2.3237323,2.6826939905362828,0.8535857594267635
kr,2,speed,2,correct,10.30754630190187,10.81252,1.717073203677185,1.6408991,6.002974293599028,6.589387488846816
kr,2,speed,2,error,7.371342840618689,6.8429606,1.8993828136213418,1.8630822,3.8809147833472126,3.6729246836237284
kr,3,speed,3,correct,9.73873050086966,9.9568504,1.7802640947786135,1.5588368,5.4703852812808265,6.387359087237356
kr,3,speed,3,error,8.01645563449995,7.2130092,1.8881666190712112,1.8272774,4.245629359999619,3.947407875782845
kr,4,speed,4,correct,11.458474791913085,11.476338,1.5375552068433422,1.4188017,7.452398938856809,8.088754052099036
kr,4,speed,4,error,5.918135653628555,3.4292898,1.8687265715257613,2.1723426,3.1669350368345053,1.5786137048548419
kr,5,speed,5,correct,12.491740521731188,12.29823,1.2973894592769057,1.4205813,9.628365971690108,8.657181394686809
kr,5,speed,5,error,4.390046539861142,1.2386117,1.7478890598635326,2.5907979,2.5116276774476165,0.47808117337133865
kr,6,accuracy,1,correct,4.676720812075789,5.0642318,1.7781320325284684,1.296238,2.630131354995942,3.9068688003283345
kr,6,accuracy,1,error,0.40206788537857163,0.0018733226,0.6251963173469002,1.0713676,0.6431066118316207,0.0017485339299041708
kr,7,accuracy,2,correct,2.5969735436595185,2.341644,1.459391842782335,1.513099,1.7794902421191972,1.547581486736823
kr,7,accuracy,2,error,1.0529568212933564,0.69514167,0.9880082540464762,1.1538934,1.0657368670564011,0.602431446440373
kr,8,accuracy,3,correct,2.1931762659887495,1.877961,1.3638200303548147,1.5572219,1.608112666755721,1.2059687832543327
kr,8,accuracy,3,error,1.296816860736278,1.0456542,1.0864298442308091,1.2814757,1.1936498869417773,0.8159766119638475
kr,9,accuracy,4,correct,3.6689125621499326,3.3539051,1.6542454372202773,1.806582,2.2178767911943074,1.8564920385567885
kr,9,accuracy,4,error,0.6318707754938905,0.071948021,0.7773130444277722,1.0360076,0.8128909967785879,0.06944738725854907
kr,10,accuracy,5,correct,5.099779800428372,5.9347866,1.8161293021489995,1.3571721,2.808048851143956,4.372906428005703
kr,10,accuracy,5,error,0.33353545899701154,0.0063345897,0.5708151152070905,1.0927902,0.5843143429655074,0.005796711665240043
nh,1,speed,1,correct,11.601310204545701,12.198738,1.3334713083216034,1.3733379,8.700082358088297,8.882546676968575
nh,1,speed,1,error,3.397055947145656,0.071628564,1.5983749932348057,2.2701423,2.1253185025565644,0.031552455544306635
nh,2,speed,2,correct,9.763598219278828,9.7956233,1.6751225047266587,1.5199594,5.828587575970762,6.44466115344923
nh,2,speed,2,error,5.6604485763965355,3.4592177,1.8226188936313692,2.0820602,3.1056676720379595,1.6614398085127413
nh,3,speed,3,correct,8.995627338322445,8.947793,1.757707253636188,1.6179915,5.117818863017771,5.5301854181557815
nh,3,speed,3,error,6.514367458770351,5.7201934,1.8485339228956523,1.6663877,3.5240724436183797,3.4326906037532563
nh,4,speed,4,correct,10.629262841206407,10.458915,1.5437801522838739,1.4261901,6.885217966743151,7.333464872600083
nh,4,speed,4,error,4.638083372172605,3.0336266,1.75157926368547,2.0512835,2.6479437547197766,1.4788919230325794
nh,5,speed,5,correct,11.36966801604984,11.470251,1.3909937225360518,1.3918703,8.173773779022328,8.240890692185904
nh,5,speed,5,error,3.7032356903746066,0.75177695,1.6438716895312044,2.4134102,2.252752276201488,0.31149986438277255
nh,6,accuracy,1,correct,7.05293412105042,6.8307225,1.8499583574646188,1.5175123,3.8124826391857365,4.501263350550767
nh,6,accuracy,1,error,0.6550328409375644,1.2701978,0.7897575847932916,0.74103734,0.8294100032087827,1.7140806966623303
nh,7,accuracy,2,correct,4.598234549568318,4.2499228,1.7478683934112254,1.8686128,2.630767034235443,2.2743731606676354
nh,7,accuracy,2,error,1.5633751538150975,0.55245728,1.1768551013120776,1.6659331,1.3284347003060004,0.3316203273708891
nh,8,accuracy,3,correct,3.83830936748501,3.2766298,1.6622394421094795,1.9636504,2.309119414597677,1.6686421371136124
nh,8,accuracy,3,error,2.0214553255992325,1.2657426,1.3127130314372397,1.7181345,1.5399064968419014,0.7366958756721317
nh,9,accuracy,4,correct,5.617989802321765,5.6673886,1.8205579877455138,1.9117706,3.0858614996816427,2.9644710510769436
nh,9,accuracy,4,error,1.102346072541238,0.66811352,1.0068050250182812,1.3478774,1.094895282749728,0.49567825679101085
nh,10,accuracy,5,correct,6.675629430281938,7.0429481,1.8501610557020793,1.3527514,3.6081342268599106,5.206387589027814
nh,10,accuracy,5,error,0.7547087118195672,0.91816338,0.8444744972976795,1.2265973,0.8937021949563154,0.7485450848456947
