param,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,participant_id,model
log_lik[648],0.949592,0.000734274,0.0388692,0.0384592,0.884485,0.950383,1.01369,2870.61,2998.13,12.4356,1.00133,2,c_only
log_lik[649],1.24323,0.00168897,0.0956617,0.0961399,1.07995,1.24787,1.39318,3220.57,3366.64,13.9517,1.00072,2,c_only
log_lik[650],0.102834,0.00111202,0.0744153,0.072765,-0.0235289,0.105001,0.224158,4514.31,3466.27,19.5562,1.00051,2,c_only
log_lik[651],1.02918,0.00246625,0.13578,0.132625,0.794711,1.03758,1.23661,3065.1,3192.44,13.2781,0.999991,2,c_only
log_lik[652],0.902645,0.000990205,0.0430279,0.0440777,0.830302,0.904077,0.971393,1865.73,2625.88,8.08241,1.00195,2,c_only
log_lik[653],-0.0601624,0.00282702,0.181626,0.181579,-0.360665,-0.0608081,0.232806,4200.03,2629.99,18.1947,1.00136,2,c_only
log_lik[654],0.949496,0.000710968,0.0410397,0.040176,0.880188,0.949912,1.01617,3418.1,2875.67,14.8074,1.00063,2,c_only
log_lik[655],-1.36443,0.00280395,0.135785,0.137224,-1.5981,-1.35846,-1.1486,2403.69,2397.26,10.4129,1.00091,2,c_only
log_lik[656],0.626046,0.00143909,0.0782243,0.0771504,0.491569,0.627146,0.753148,2977.35,3119.67,12.898,1.00052,2,c_only
log_lik[657],1.96397,0.000788731,0.0517597,0.0512691,1.87889,1.96415,2.04973,4322.71,2943.37,18.7262,1.00086,2,c_only
log_lik[658],0.925111,0.000825129,0.0367276,0.0362082,0.863822,0.925798,0.985018,2001.88,2709.36,8.67222,1.00124,2,c_only
log_lik[659],0.248732,0.00107443,0.0665543,0.0653153,0.137391,0.250625,0.35702,3875.54,3318.14,16.789,1.00067,2,c_only
log_lik[660],-0.185331,0.00128738,0.0904235,0.0895171,-0.33753,-0.182758,-0.0426182,5007.48,3579.48,21.6926,1.00035,2,c_only
log_lik[661],0.769617,0.00114705,0.0662806,0.0657635,0.655343,0.770575,0.876227,3374.54,3068.25,14.6187,1.0,2,c_only
log_lik[662],0.681813,0.00102205,0.0451233,0.0460528,0.606453,0.683186,0.75207,1959.76,2675.9,8.48975,1.00129,2,c_only
log_lik[663],-1.39326,0.00255407,0.1343,0.137815,-1.6083,-1.39422,-1.16974,2784.77,2875.22,12.0637,1.00108,2,c_only
log_lik[664],1.96471,0.000790681,0.0519886,0.0514414,1.87872,1.96464,2.04989,4346.71,2876.21,18.8301,1.00087,2,c_only
log_lik[665],0.28244,0.00106966,0.0647769,0.0641712,0.17398,0.284392,0.387156,3702.94,3289.43,16.0413,1.00085,2,c_only
log_lik[666],0.626046,0.00143909,0.0782243,0.0771504,0.491569,0.627146,0.753148,2977.35,3119.67,12.898,1.00052,2,c_only
log_lik[667],-1.36738,0.00283249,0.137064,0.138841,-1.6032,-1.36174,-1.15188,2399.59,2468.32,10.3951,1.0009,2,c_only
log_lik[668],1.64306,0.00123552,0.0647792,0.0651445,1.53331,1.64332,1.74798,2764.8,3365.39,11.9772,1.00086,2,c_only
log_lik[669],0.355715,0.00106268,0.0609708,0.0604993,0.254011,0.357831,0.454524,3322.61,3322.43,14.3937,1.00115,2,c_only
log_lik[670],0.411175,0.00117957,0.0737481,0.0712189,0.281081,0.415284,0.526996,3893.84,3084.21,16.8683,1.0013,2,c_only
log_lik[671],1.0175,0.000875157,0.0376543,0.0382415,0.953972,1.01855,1.07807,1843.69,2376.57,7.98696,1.00153,2,c_only
log_lik[672],-1.3541,0.00272784,0.132408,0.133497,-1.5839,-1.34878,-1.14329,2409.85,2570.53,10.4396,1.00093,2,c_only
log_lik[673],0.946954,0.000708077,0.0421939,0.0412474,0.875137,0.94715,1.01609,3662.02,3077.98,15.864,1.00047,2,c_only
log_lik[674],0.42124,0.00117433,0.0730936,0.0709203,0.292512,0.425258,0.536205,3858.43,3108.4,16.7149,1.00133,2,c_only
log_lik[675],0.19454,0.00336677,0.200948,0.197475,-0.146969,0.202564,0.509138,3572.04,3279.17,15.4742,0.999943,2,c_only
log_lik[676],0.776524,0.00105359,0.0503689,0.0507792,0.691791,0.778145,0.855039,2239.28,2810.34,9.70066,1.00194,2,c_only
log_lik[677],1.96427,0.000800296,0.0526547,0.0520421,1.87888,1.96472,2.05047,4371.61,2862.35,18.938,1.00083,2,c_only
log_lik[678],-0.588653,0.00173719,0.11212,0.112367,-0.778145,-0.584643,-0.410742,4241.83,3372.02,18.3758,1.00007,2,c_only
log_lik[679],0.790526,0.00104868,0.0495167,0.0497161,0.706684,0.792382,0.867748,2189.47,2831.28,9.48489,1.00194,2,c_only
log_lik[680],0.179212,0.00133849,0.0887055,0.0861994,0.0232488,0.184098,0.320343,4439.39,3053.71,19.2316,1.00092,2,c_only
log_lik[681],-0.624465,0.00179267,0.113896,0.114193,-0.816291,-0.621204,-0.4425,4150.18,3342.69,17.9788,1.00006,2,c_only
log_lik[682],0.948624,0.000709182,0.0415039,0.0406046,0.878475,0.948971,1.01629,3525.27,3014.6,15.2716,1.00073,2,c_only
log_lik[683],0.297707,0.00260292,0.16621,0.167163,0.0162358,0.299879,0.561006,4122.71,2819.26,17.8597,1.00074,2,c_only
log_lik[684],1.91637,0.000958351,0.0581343,0.0590139,1.82095,1.91734,2.00831,3760.65,2891.53,16.2913,1.00078,2,c_only
log_lik[685],1.00377,0.00194026,0.115331,0.114963,0.810849,1.00764,1.18411,3541.31,3433.17,15.3411,1.0007,2,c_only
log_lik[686],-1.91081,0.00280113,0.13551,0.136012,-2.14354,-1.90479,-1.69731,2397.81,2469.75,10.3874,1.00099,2,c_only
log_lik[687],0.527145,0.00105216,0.0524039,0.0519331,0.439086,0.528083,0.609574,2494.82,3205.6,10.8077,1.00087,2,c_only
log_lik[688],0.920767,0.00260276,0.14545,0.143019,0.667874,0.930533,1.14179,3154.95,3158.24,13.6674,0.99996,2,c_only
log_lik[689],-0.541551,0.0028618,0.180375,0.180268,-0.829347,-0.546628,-0.234236,4113.32,2468.06,17.8191,1.00178,2,c_only
log_lik[690],-1.88773,0.00271231,0.131162,0.129624,-2.11502,-1.88132,-1.68165,2397.41,2438.09,10.3857,1.00123,2,c_only
log_lik[691],1.89823,0.00100883,0.0596949,0.0607991,1.8001,1.89951,1.99325,3583.88,2795.73,15.5255,1.00073,2,c_only
log_lik[692],0.641456,0.0010341,0.0469766,0.0475426,0.562046,0.643074,0.71464,2072.78,2750.69,8.97937,1.00114,2,c_only
log_lik[693],0.868991,0.000927665,0.0375238,0.0380257,0.805808,0.869434,0.929337,1636.12,2248.43,7.08774,1.00162,2,c_only
log_lik[694],0.261507,0.00107248,0.0658788,0.0650379,0.151423,0.263427,0.368518,3812.16,3317.9,16.5144,1.00078,2,c_only
log_lik[695],0.296284,0.00125302,0.0811979,0.0780639,0.153839,0.300989,0.423586,4230.72,3114.92,18.3277,1.00108,2,c_only
log_lik[696],1.04805,0.00083029,0.0367016,0.0371391,0.986905,1.0484,1.1079,1949.19,2427.97,8.44398,1.00126,2,c_only
log_lik[697],1.08347,0.000770151,0.0360978,0.0362827,1.02284,1.08341,1.14229,2220.18,2463.29,9.61791,1.00093,2,c_only
log_lik[698],-0.86915,0.00233565,0.138419,0.138669,-1.10252,-0.867004,-0.640378,3537.1,3233.97,15.3229,1.00043,2,c_only
log_lik[699],0.938211,0.00200757,0.120649,0.119623,0.73764,0.941275,1.12623,3623.32,3407.7,15.6964,1.0007,2,c_only
log_lik[700],0.614734,0.00104011,0.0482231,0.0487531,0.533848,0.616061,0.69045,2158.47,2845.04,9.35057,1.00106,2,c_only
log_lik[701],0.952578,0.00199288,0.119489,0.118482,0.753913,0.956101,1.13973,3604.72,3453.55,15.6158,1.0007,2,c_only
log_lik[702],1.15383,0.000695963,0.0433574,0.0436095,1.08226,1.15405,1.22446,3916.24,3356.66,16.9653,1.00047,2,c_only
log_lik[703],0.783848,0.000992691,0.0406592,0.041991,0.715787,0.785575,0.849368,1675.88,2227.72,7.25998,1.00164,2,c_only
log_lik[704],0.228156,0.00107795,0.067647,0.0665922,0.114549,0.230274,0.338591,3974.5,3412.76,17.2177,1.00061,2,c_only
log_lik[705],1.13608,0.000691439,0.0374127,0.0378701,1.07375,1.13628,1.1965,2959.99,3086.91,12.8228,1.00046,2,c_only
log_lik[706],0.277382,0.0010703,0.0650425,0.0641979,0.168427,0.279356,0.382614,3731.51,3289.43,16.1651,1.00081,2,c_only
log_lik[707],-1.16079,0.00258151,0.133721,0.134419,-1.38048,-1.16035,-0.94047,2721.13,3005.57,11.788,1.00034,2,c_only
log_lik[708],0.914596,0.000981503,0.0423867,0.0434016,0.842899,0.916084,0.982265,1849.14,2581.66,8.01055,1.00192,2,c_only
log_lik[709],-0.523959,0.00165221,0.108826,0.108724,-0.707505,-0.520215,-0.351631,4404.25,3512.36,19.0794,1.00018,2,c_only
log_lik[710],1.59779,0.00129106,0.0679292,0.0681969,1.48142,1.59879,1.70734,2783.89,3232.21,12.0599,1.00083,2,c_only
log_lik[711],-0.342919,0.00182801,0.11923,0.116006,-0.5507,-0.338168,-0.151527,4305.9,3149.94,18.6533,1.00042,2,c_only
log_lik[712],1.11472,0.000721979,0.0363455,0.0359115,1.05452,1.1147,1.17425,2560.07,2761.56,11.0904,1.00065,2,c_only
log_lik[713],0.554199,0.00159752,0.0937453,0.0936381,0.393578,0.556565,0.70182,3521.34,3362.53,15.2546,1.00189,2,c_only
log_lik[714],-1.63628,0.00250694,0.146945,0.148043,-1.87135,-1.64269,-1.3849,3442.01,3263.7,14.9109,0.99999,2,c_only
log_lik[715],-1.56197,0.00262772,0.153042,0.154484,-1.80699,-1.56709,-1.30217,3402.78,3163.01,14.741,0.999953,2,c_only
