param,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,participant_id,model
log_lik[274],1.54594,0.00174486,0.0910738,0.0942059,1.39289,1.54832,1.68917,2811.32,2307.18,24.8407,0.999824,2,d_only
log_lik[275],-0.584065,0.0014787,0.091947,0.0913652,-0.737381,-0.582248,-0.438069,3903.16,3279.69,34.4881,1.00101,2,d_only
log_lik[276],1.00329,0.0011246,0.0648895,0.0647703,0.898492,1.00235,1.10936,3430.4,2891.69,30.3109,1.00091,2,d_only
log_lik[277],0.985738,0.00109517,0.0634153,0.0630695,0.883767,0.984998,1.09016,3459.82,2935.55,30.5708,1.0009,2,d_only
log_lik[278],-1.22044,0.00139233,0.0840818,0.0830626,-1.35373,-1.2233,-1.08026,3791.88,2837.41,33.5049,1.00065,2,d_only
log_lik[279],0.103704,0.000887121,0.0493251,0.0483643,0.0185438,0.106862,0.178934,3169.2,3331.94,28.0029,1.00041,2,d_only
log_lik[280],0.116467,0.00129076,0.0802997,0.0768039,-0.0237879,0.121236,0.236154,3910.34,3546.42,34.5515,1.00002,2,d_only
log_lik[281],0.500885,0.00084716,0.0507598,0.0493867,0.414974,0.502275,0.581188,3601.79,3155.85,31.8252,1.00035,2,d_only
log_lik[282],0.50641,0.000711804,0.0397591,0.0398695,0.440851,0.50626,0.572318,3191.11,2871.39,28.1965,1.00163,2,d_only
log_lik[283],-0.576468,0.00185551,0.119415,0.118824,-0.779231,-0.574943,-0.383678,4179.17,3100.98,36.9269,1.0013,2,d_only
log_lik[284],0.103704,0.000887121,0.0493251,0.0483643,0.0185438,0.106862,0.178934,3169.2,3331.94,28.0029,1.00041,2,d_only
log_lik[285],-0.267765,0.00172106,0.109431,0.106729,-0.461233,-0.262814,-0.099432,4080.1,3288.14,36.0515,1.00069,2,d_only
log_lik[286],0.116182,0.000875677,0.0485499,0.0479617,0.032738,0.119385,0.190363,3152.16,3189.99,27.8523,1.00045,2,d_only
log_lik[287],-0.403021,0.00135736,0.0830461,0.0807469,-0.543378,-0.399696,-0.274301,3732.73,3583.47,32.9822,1.00036,2,d_only
log_lik[288],0.647038,0.000791502,0.0467493,0.0461946,0.570666,0.647125,0.724174,3492.29,2891.51,30.8577,1.00034,2,d_only
log_lik[289],1.38343,0.00210785,0.116912,0.120027,1.19501,1.38101,1.58212,3075.62,2740.21,27.1761,1.00009,2,d_only
log_lik[290],1.34562,0.00212336,0.118089,0.119752,1.15582,1.34269,1.54671,3089.22,2798.56,27.2962,1.00006,2,d_only
log_lik[291],0.92921,0.00211736,0.123457,0.11179,0.688099,0.953068,1.08708,3430.98,3123.65,30.316,1.00031,2,d_only
log_lik[292],1.11447,0.00131348,0.0727572,0.071215,0.996375,1.11381,1.23543,3185.91,2764.33,28.1506,1.00107,2,d_only
log_lik[293],0.141575,0.000852846,0.0470205,0.0464643,0.0612903,0.144494,0.213682,3116.17,3108.93,27.5343,1.00055,2,d_only
