index,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale,participant_id
c_t0,0,1022.9115634135089,7.763222031810983,0.0,0.5533864991509649,29.450813430373646,0.0,False,log,13
c_B,1,1021.8078319083996,8.081598378984268,1.1037315051092946,0.0,29.390230609233463,1.6270658822078679,False,log,13
d_B,2,1021.0810073188927,8.130941351776755,1.8305560946163064,0.44661350084903845,29.641745182826636,6.037428297185466,False,log,13
d_t0,3,1001.1852303544415,8.232303766398218,21.72633305906746,0.0,30.39194676114253,8.22372654827513,False,log,13
d_t0,0,162.65246603834598,8.82024295164436,0.0,0.8034767461010761,28.72077509524714,0.0,False,log,14
c_t0,1,161.40803156589845,9.41647184975156,1.244434472447555,0.19652325389894568,28.690584879027437,2.0253798297250247,False,log,14
c_B,2,160.65692049755862,9.642276443576606,1.9955455407873819,0.0,28.731201888131196,2.1095869620825387,False,log,14
d_B,3,160.2750977656354,9.055540319546253,2.3773682727106236,0.0,28.68735785903722,1.2914259746024292,False,log,14
d_t0,0,-161.10996660501425,7.552401747714356,0.0,0.8904688338544063,17.363188791973872,0.0,False,log,15
c_t0,1,-162.32125508141,8.091269589640234,1.211288476395736,0.0,17.257043495102483,1.1706095634821099,False,log,15
d_B,2,-162.89257504132277,8.086212426273079,1.7826084363084993,0.10953116614559422,17.252523700402097,2.131393838445814,False,log,15
c_B,3,-162.96556520153516,8.37090488532553,1.855598596520907,0.0,17.136798146266333,1.574041587021241,False,log,15
c_t0,0,527.8454832503653,8.839207467662277,0.0,1.0,30.63004096074442,0.0,False,log,16
c_B,1,526.7317955461739,9.02533840092508,1.113687704191416,4.6629367034256575e-15,30.618456821062193,0.6271436442679946,False,log,16
d_t0,2,526.681325872021,9.367611343029012,1.164157378344302,1.5543122344752192e-15,30.748536460884495,0.79117638003173,False,log,16
d_B,3,525.1396442889384,8.994287571588302,2.705838961426891,0.0,30.69126773155081,1.6453331241518296,False,log,16
c_B,0,507.97183014863947,8.426044214845547,0.0,0.9196775769435439,31.01899439365896,0.0,False,log,17
c_t0,1,504.81629859859834,8.882537962089827,3.1555315500411085,8.712297378988035e-16,31.209640725454527,2.3303271744765346,False,log,17
d_B,2,496.06510228496387,8.509534441709263,11.90672786367563,0.038980806190625966,31.142975587212792,5.196824103604803,False,log,17
d_t0,3,469.1576044029362,7.486049317478262,38.81422574570323,0.04134161686582927,32.70013098659234,10.35674530570482,False,log,17
c_t0,0,469.92953865654243,9.053068812099298,0.0,0.6836802768840399,31.65921505480687,0.0,False,log,18
c_B,1,468.8165376787731,9.009040795556302,1.1130009777693735,0.18440216188142192,31.670619646536956,2.2138686312993587,False,log,18
d_B,2,449.6802780985113,9.039614197154151,20.249260558031228,0.13191756123452267,31.299619101846986,7.480349236182943,False,log,18
d_t0,3,414.26221103165415,16.431212119269276,55.667327624888344,1.554312234475219e-14,31.88330834479871,11.478526688707078,False,log,18
d_B,0,332.50762201489255,7.702022126789245,0.0,0.9358179793026242,26.586417373977476,0.0,False,log,19
c_B,1,322.742412180587,7.683564407566905,9.765209834305574,0.0,25.98340971114541,4.029485792739952,False,log,19
c_t0,2,321.5505570714389,7.32229810401509,10.957064943453641,0.06418202069737719,26.04714018414036,5.027928472036463,False,log,19
d_t0,3,320.1628143121688,7.089681039985578,12.344807702723816,0.0,26.589766872648855,4.955327807524608,False,log,19
